,0
476,106.68617248535156
477,124.2271499633789
478,149.62037658691406
479,145.18438720703125
480,106.85418701171875
481,89.53314971923828
482,95.38494873046875
483,154.9756622314453
484,93.02936553955078
485,89.59761047363281
486,148.9544219970703
487,110.36678314208984
488,50.1544189453125
489,148.48468017578125
490,219.6801300048828
491,92.06063842773438
492,158.94618225097656
493,66.35469818115234
494,116.85228729248047
495,91.68482208251953
496,179.02125549316406
497,87.85441589355469
498,79.3122787475586
499,270.4672546386719
500,134.99310302734375
501,73.94401550292969
502,132.29039001464844
503,77.55142211914062
504,179.1263885498047
505,45.87919235229492
506,78.73157501220703
507,156.74777221679688
508,102.28630065917969
509,138.51998901367188
510,67.1397476196289
511,157.4293975830078
512,64.99432373046875
513,87.88346862792969
514,251.51571655273438
515,127.11149597167969
516,108.72128295898438
517,65.52838134765625
518,164.2806396484375
519,59.26555252075195
520,93.63560485839844
521,44.59115219116211
522,103.71147155761719
523,256.033447265625
524,119.53860473632812
525,63.961978912353516
526,178.8092041015625
527,99.68770599365234
528,108.49613952636719
529,110.0831298828125
530,95.13117218017578
531,137.57566833496094
532,41.002410888671875
533,119.32752227783203
534,107.13714599609375
535,53.37437438964844
536,97.27442169189453
537,116.89218139648438
538,71.96830749511719
539,117.65052795410156
540,62.810726165771484
541,134.26185607910156
542,121.36475372314453
543,83.96170806884766
544,81.40413665771484
545,71.23950958251953
546,96.34141540527344
547,150.66615295410156
548,67.97553253173828
549,102.72996520996094
550,142.96734619140625
551,111.42992401123047
552,120.65731811523438
553,17.64585304260254
554,114.26237487792969
555,94.55657196044922
556,58.770442962646484
557,66.82511901855469
558,100.7137451171875
559,136.9373779296875
560,109.53633117675781
561,80.96516418457031
562,290.4008483886719
563,81.07622528076172
564,129.90260314941406
565,246.51223754882812
566,158.58590698242188
567,147.543212890625
568,64.74580383300781
569,85.46654510498047
570,222.19515991210938
571,52.21952438354492
572,195.4131317138672
573,101.68807983398438
574,70.65804290771484
575,108.34117889404297
576,87.77778625488281
577,236.89865112304688
578,108.19427490234375
579,105.17059326171875
580,199.1370849609375
581,83.75460815429688
582,201.0432891845703
583,58.46725082397461
584,40.528079986572266
585,119.9208984375
586,268.4241027832031
587,80.49993133544922
588,111.0072250366211
589,205.76661682128906
590,192.00033569335938
591,128.4779510498047
592,84.10871887207031
593,86.38250732421875
594,155.3829345703125
595,193.70413208007812
596,158.03961181640625
597,63.68600845336914
598,216.8741455078125
599,187.50759887695312
600,121.60216522216797
601,70.11445617675781
602,128.4086456298828
603,61.3895149230957
604,249.5005645751953
605,151.42129516601562
606,91.75973510742188
607,155.25437927246094
608,152.77301025390625
609,130.4509735107422
610,80.31634521484375
611,107.68572998046875
612,138.330078125
613,141.36325073242188
614,166.0841827392578
615,95.3521957397461
616,101.09529876708984
617,142.5336151123047
618,130.21839904785156
619,75.14866638183594
620,49.375267028808594
621,175.83758544921875
622,130.38438415527344
623,153.95872497558594
624,106.81893920898438
625,74.37126922607422
626,66.5036392211914
627,99.73722076416016
628,205.02987670898438
629,79.57089233398438
630,145.15321350097656
631,116.7075424194336
632,94.98898315429688
633,115.2928695678711
634,131.17431640625
635,75.81407165527344
636,150.98109436035156
637,102.32060241699219
638,45.29612731933594
639,147.98904418945312
640,146.0623016357422
641,115.41474914550781
642,130.3140411376953
643,66.63372039794922
644,109.28323364257812
645,98.00199890136719
646,116.10456085205078
647,72.76457977294922
648,66.51898193359375
649,216.43592834472656
650,54.92280197143555
651,174.09759521484375
652,72.29546356201172
653,61.60057067871094
654,166.70350646972656
655,70.91168975830078
656,144.7273712158203
657,88.88890838623047
658,57.17352294921875
659,140.511962890625
660,88.2396469116211
661,57.68339157104492
662,189.1292724609375
663,34.456817626953125
664,61.988033294677734
665,99.61138916015625
666,119.91963195800781
667,65.36985778808594
668,32.34785079956055
669,122.92950439453125
670,150.25746154785156
671,180.50270080566406
672,64.49223327636719
673,30.038442611694336
674,57.36953353881836
675,118.68636322021484
676,111.33138275146484
677,145.23358154296875
678,68.16212463378906
679,60.74684143066406
680,93.73234558105469
681,111.8162841796875
682,95.52227020263672
683,43.09361267089844
684,134.34805297851562
685,128.7944793701172
686,102.5562515258789
687,124.64177703857422
688,62.76641845703125
689,104.22027587890625
690,136.0965576171875
691,41.86339569091797
692,138.51710510253906
693,70.94955444335938
694,74.56797790527344
695,114.64598083496094
696,112.58895111083984
697,49.02527618408203
698,69.33475494384766
699,126.72632598876953
700,81.62284088134766
701,66.96649169921875
702,52.83687210083008
703,174.94395446777344
704,102.93769836425781
705,98.29622650146484
706,70.1101303100586
707,53.63329315185547
708,123.35222625732422
709,94.058837890625
710,64.16621398925781
711,106.98249816894531
712,111.7815170288086
713,104.5633773803711
714,54.04610061645508
715,122.96292877197266
716,95.30803680419922
717,59.514041900634766
718,123.75202941894531
719,51.637271881103516
720,81.04521942138672
721,145.335693359375
722,114.634765625
723,94.8719482421875
724,57.035030364990234
725,87.30532836914062
726,108.71451568603516
727,66.28428649902344
728,60.881690979003906
729,73.93722534179688
